Días ,Contagios,Contagios por día,ContagiadosNación,fecha,Muertos,Muertos por día,Tasa mortalidad
18,53,12,"0,00%",16 marzo,0,0,"0,00%"
19,82,29,"0,00%",17 marzo,0,0,"0,00%"
20,93,11,"0,00%",18 marzo,0,0,"0,00%"
21,118,25,"0,00%",19 marzo,1,1,"0,85%"
22,203,85,"0,00%",20 marzo,2,1,"0,99%"
23,251,48,"0,00%",21 marzo,2,0,"0,80%"
24,316,65,"0,00%",22 marzo,2,0,"0,63%"
25,367,51,"0,00%",23 marzo,4,2,"1,09%"
26,405,38,"0,00%",24 marzo,5,1,"1,23%"
27,475,70,"0,00%",25 marzo,6,1,"1,26%"
28,585,110,"0,00%",26 marzo,8,2,"1,37%"
29,717,132,"0,00%",27 marzo,12,4,"1,67%"
30,848,131,"0,00%",28 marzo,16,4,"1,89%"
31,993,145,"0,00%",29 marzo,20,4,"2,01%"
32,1094,101,"0,00%",30 marzo,28,8,"2,56%"
33,1215,121,"0,00%",31 marzo,29,1,"2,39%"
34,1317,102,"0,00%",1 abril,37,8,"2,81%"
35,1510,193,"0,00%",2 abril,50,13,"3,31%"
36,1688,178,"0,00%",3 abril,60,10,"3,55%"
37,1890,202,"0,00%",4 abril,79,19,"4,18%"
38,2143,253,"0,00%",5 abril,94,15,"4,39%"
39,2439,296,"0,00%",6 abril,125,31,"5,13%"
40,2785,346,"0,00%",7 abril,141,16,"5,06%"
41,3181,396,"0,00%",8 abril,174,33,"5,47%"
42,3441,260,"0,00%",9 abril,194,20,"5,64%"
43,3844,403,"0,00%",10 abril,233,39,"6,06%"
44,4219,375,"0,00%",11 abril,274,41,"6,49%"
45,4661,442,"0,00%",12 abril,296,22,"6,35%"
46,5014,353,"0,00%",13 abril,332,36,"6,62%"
47,5399,385,"0,00%",14 abril,406,74,"7,52%"
48,5847,448,"0,00%",15 abril,449,43,"7,68%"
49,6297,450,"0,00%",16 abril,486,37,"7,72%"
50,6875,578,"0,01%",17 abril,546,60,"7,94%"
51,7497,622,"0,01%",18 abril,650,104,"8,67%"
52,8261,764,"0,01%",19 abril,686,36,"8,30%"
53,8772,511,"0,01%",20 abril,712,26,"8,12%"
54,9501,729,"0,01%",21 abril,857,145,"9,02%"
55,10544,1043,"0,01%",22 abril,970,113,"9,20%"
56,11633,1089,"0,01%",23 abril,1069,99,"9,19%"
57,12872,1239,"0,01%",24 abril,1221,152,"9,49%"
58,13842,970,"0,01%",25 abril,1305,84,"9,43%"
59,14677,835,"0,01%",26 abril,1351,46,"9,20%"
60,15529,852,"0,01%",27 abril,1434,83,"9,23%"
61,16752,1223,"0,01%",28 abril,1569,135,"9,37%"
62,17779,1027,"0,01%",29 abril,1732,163,"9,74%"
63,19224,1445,"0,02%",30 abril,1859,127,"9,67%"
64,20739,1515,"0,02%",1 mayo,1972,113,"9,51%"
65,22088,1349,"0,02%",2 mayo,2061,89,"9,33%"
66,23471,1383,"0,02%",3 mayo,2154,93,"9,18%"
